English,Greek
Durability,Durability
Avatar Part,Avatar Part
{0}: {1} plots.,{0}: {1} plots.
(MISSING INFLUENCER ID: {0}),(MISSING INFLUENCER ID: {0})
Spoilage,Spoilage
{0} is running. Average Tick: {1:n1}ms. Last Tick: {2:n1}ms. Tick Interval: {3}s.,{0} is running. Average Tick: {1:n1}ms. Last Tick: {2:n1}ms. Tick Interval: {3}s.
Placed on {0}.,Placed on {0}.
ignored,ignored
Select a file before printing.,Select a file before printing.
Make space for a new picture to be put in the slot.,Make space for a new picture to be put in the slot.
Needs Paper to print a picture on.,Needs Paper to print a picture on.
This seat is occupied.,This seat is occupied.
There are no seats available.,There are no seats available.
none,none
{0} was opened. Customers will now be able to exchange currencies.,{0} was opened. Customers will now be able to exchange currencies.
{0} was closed. Customers won't be able to exchange currencies.,{0} was closed. Customers won't be able to exchange currencies.
Cannot trade: Currency exchange is not in a valid state. Check the status tab for more details.,Cannot trade: Currency exchange is not in a valid state. Check the status tab for more details.
Cannot trade: Currency exchange is closed.,Cannot trade: Currency exchange is closed.
"{0}, cannot trade.","{0}, cannot trade."
Sell {0} for {1} {2},Sell {0} for {1} {2}
{0} bought {1} from you.,{0} bought {1} from you.
{0} started {1},{0} started {1}
Work orders started,Work orders started
"{0} is disabled, and active ratification election '{1}' will fail if it is still disabled upon completion. See status tab.","{0} is disabled, and active ratification election '{1}' will fail if it is still disabled upon completion. See status tab."
"This will draft an election to ratify constitution of the {0} {1}, founding it.","This will draft an election to ratify constitution of the {0} {1}, founding it."
This will draft an election to ratify the constitution.,This will draft an election to ratify the constitution.
"You can attach more civic actions to the election (adding laws, etc) before starting it in the side panel.","You can attach more civic actions to the election (adding laws, etc) before starting it in the side panel."
"{0} is disabled, cannot ratify constitution.  Check status tab.","{0} is disabled, cannot ratify constitution.  Check status tab."
You can add additional provisions to it before starting voting.,You can add additional provisions to it before starting voting.
{0} cannot be copied while {1} is editing it.,{0} cannot be copied while {1} is editing it.
{0} cannot be used while {1} is editing it.,{0} cannot be used while {1} is editing it.
Someone is already editing this proposable.,Someone is already editing this proposable.
Cannot be removed while {0} is editing it.,Cannot be removed while {0} is editing it.
{0} is a core part of {1} and cannot be deleted. It can be modified only.,{0} is a core part of {1} and cannot be deleted. It can be modified only.
This bed is being used by someone else and has no free space.,This bed is being used by someone else and has no free space.
Are you sure you want to remove bed while player is sleeping in it? This is generally considered quite rude and uncouth.,Are you sure you want to remove bed while player is sleeping in it? This is generally considered quite rude and uncouth.
Game Action Accumulator,Game Action Accumulator
{0} added with occupant {1},{0} added with occupant {1}
Create an elected title for debugging and put in a test user.,Create an elected title for debugging and put in a test user.
Area Buff Manager,Area Buff Manager
Failed to add test blueprint item to inventory: {0},Failed to add test blueprint item to inventory: {0}
Blueprint testing commands.,Blueprint testing commands.
Blueprint,Blueprint
Generates and returns test blueprint item.,Generates and returns test blueprint item.
This world has unlocked the achievement {0}!,This world has unlocked the achievement {0}!
Current Progress is: {0} / {1},Current Progress is: {0} / {1}
You unlocked an achievement!,You unlocked an achievement!
Achievement {0} given to {1}.,Achievement {0} given to {1}.
Removed achievement of type '{0}' from {1}.,Removed achievement of type '{0}' from {1}.
Achievements system is disabled. Please enable Achievements feature in Server UI,Achievements system is disabled. Please enable Achievements feature in Server UI
Name must be between {0} and {1} characters.,Name must be between {0} and {1} characters.
"'{0}' contains profanity, not allowed.","'{0}' contains profanity, not allowed."
Name must be at least {0} characters.,Name must be at least {0} characters.
Name must be less than {0} characters (currently {1} characters).,Name must be less than {0} characters (currently {1} characters).
Name '{0}' already exists.,Name '{0}' already exists.
Name contains profanity.,Name contains profanity.
No Client directory found. Client configs not copied.,No Client directory found. Client configs not copied.
Only managed to place {0} rivers out of {1} requested,Only managed to place {0} rivers out of {1} requested
Failed to place any rivers,Failed to place any rivers
The server crashed with error:\n{0},The server crashed with error:\n{0}
Failed to add EBS action handler '{0}': Action handlers must be static.,Failed to add EBS action handler '{0}': Action handlers must be static.
Failed to add EBS action handler '{0}': Missing required first parameter {1},Failed to add EBS action handler '{0}': Missing required first parameter {1}
Failed to add EBS action handler '{0}': Invalid first parameter '{1}'. First parameter must be {2},Failed to add EBS action handler '{0}': Invalid first parameter '{1}'. First parameter must be {2}
Connection to Twitch EBS lost,Connection to Twitch EBS lost
Connection to Twitch EBS established: {0},Connection to Twitch EBS established: {0}
Twitch,Twitch
Attempting to reconnect to Twitch EBS,Attempting to reconnect to Twitch EBS
Subscribed to channel: {0}.,Subscribed to channel: {0}.
Failed to subscribe to channel: {0}.,Failed to subscribe to channel: {0}.
Unsubscribed from channel: {0}.,Unsubscribed from channel: {0}.
Failed to unsubscribe from channel: {0}.,Failed to unsubscribe from channel: {0}.
List of some helpful Twitch debug commands,List of some helpful Twitch debug commands
Forces a Twitch channel subscription with the EBS server,Forces a Twitch channel subscription with the EBS server
Forces the removal of a Twitch channel subscription with the EBS server,Forces the removal of a Twitch channel subscription with the EBS server
Forces all datasets to refresh on the EBS server,Forces all datasets to refresh on the EBS server
Item movement Hotkeys,Item movement Hotkeys
Left-Click,Left-Click
Shelf Life Remaining: {0} {1},Shelf Life Remaining: {0} {1}
"Your GPU's Max Tessellation Level is less than 64. AMD is the only known GPU manufacturer who doesn't follow the standard and reduces this setting to hack performance in their ""AMD Radeon Software"", setting it to 8 in the default optimized settings. You may experience problems with the Minimap rendering. To fix this, set ""Max Tessellation Level"" to 64 in the software for Eco (explicitly) and restart the game.","Your GPU's Max Tessellation Level is less than 64. AMD is the only known GPU manufacturer who doesn't follow the standard and reduces this setting to hack performance in their ""AMD Radeon Software"", setting it to 8 in the default optimized settings. You may experience problems with the Minimap rendering. To fix this, set ""Max Tessellation Level"" to 64 in the software for Eco (explicitly) and restart the game."
You do not have the ability to perform this Civic Power.,You do not have the ability to perform this Civic Power.
Trade{0}for{1},Trade{0}for{1}
Buy{0},Buy{0}
Sell{0},Sell{0}
PicturePrinterUI,PicturePrinterUI
Are you sure you would like to open this link in your browser?,Are you sure you would like to open this link in your browser?
This link has not been verified by Strange Loop Games and may be dangerous. Only open links that you know you can trust.,This link has not been verified by Strange Loop Games and may be dangerous. Only open links that you know you can trust.
In inventory only,In inventory only
(client-side part),(client-side part)
Edit who can review textures,Edit who can review textures
Min{0}{1},Min{0}{1}
Plot is already a part of this deed.,Plot is already a part of this deed.
Start Homestead,Start Homestead
You have {0} playing on this server.,You have {0} playing on this server.
friend,friend
Achievements:,Achievements:
Out Of Stock,Out Of Stock
Accept(Dev Mode),Accept(Dev Mode)
Discovered only,Discovered only
You are sending messages too fast. Please try again later,You are sending messages too fast. Please try again later
Being edited by {0} ...,Being edited by {0} ...
Attempting to Link Twitch account.,Attempting to Link Twitch account.
Waiting for response from play.eco.,Waiting for response from play.eco.
{0} Your Twitch Account,{0} Your Twitch Account
Unlink,Unlink
fps,fps
You have no arrows in inventory.,You have no arrows in inventory.
Not enough fuel.,Not enough fuel.
Error communicating with authorization server,Error communicating with authorization server
Failed to parse login session,Failed to parse login session
Error with server response,Error with server response
You cannot accept an invite while already connecting to a server.,You cannot accept an invite while already connecting to a server.
<size=150%>STOVE Error</size>\r\n\r\nUser doesn't own game on STOVE. Press ok to quit and login with a user that owns the game to play.,<size=150%>STOVE Error</size>\r\n\r\nUser doesn't own game on STOVE. Press ok to quit and login with a user that owns the game to play.
Failed to authenticate with Steam. An unknown error has occured,Failed to authenticate with Steam. An unknown error has occured
Allow {0} to join your game?,Allow {0} to join your game?
{0} is inviting you to play.,{0} is inviting you to play.
Allow Player to Join,Allow Player to Join
Deny,Deny
Ignore,Ignore
This plot is unclaimed and you may start a new {0} here.,This plot is unclaimed and you may start a new {0} here.
This plot is adjacent to {0} and can be claimed.,This plot is adjacent to {0} and can be claimed.
This plot is not adjacent to {0} and cannot be claimed.,This plot is not adjacent to {0} and cannot be claimed.
Property Selection,Property Selection
This plot is unclaimed and not a part of any town.,This plot is unclaimed and not a part of any town.
This key is currently assigned to {0}.\nDo you want to assign it here instead?,This key is currently assigned to {0}.\nDo you want to assign it here instead?
"Finished memory profiler snapshot. Saved to ""{0}","Finished memory profiler snapshot. Saved to ""{0}"
Accuracy: {0:0.00},Accuracy: {0:0.00}
No Data,No Data
Close avatar window?,Close avatar window?
This can be reopened from settings menu,This can be reopened from settings menu
Your duties are determined by the ratified Constitution.,Your duties are determined by the ratified Constitution.
\nTo print your chosen image onto a paper you need to put paper in the slot above and click this button.,\nTo print your chosen image onto a paper you need to put paper in the slot above and click this button.
Browse,Browse
"\nSelect a file from your computer to upload,\nFiles can't be larger than specified in server config.","\nSelect a file from your computer to upload,\nFiles can't be larger than specified in server config."
View Government,View Government
Sleeping Players,Sleeping Players
Start Ratification Election,Start Ratification Election
High Detail View Distance,High Detail View Distance
Changes the distance at which high quality terrain is rendered.\n\nPerformance impact: High,Changes the distance at which high quality terrain is rendered.\n\nPerformance impact: High
Lock delay,Lock delay
Delay before the tooltip is locked.,Delay before the tooltip is locked.
Tooltip delay,Tooltip delay
The delay before the tooltip appear.,The delay before the tooltip appear.
Allow to use the Chat Hotkey for hiding Chat and Newsfeed,Allow to use the Chat Hotkey for hiding Chat and Newsfeed
Allow Discord Join Requests,Allow Discord Join Requests
"on - Enables support for Discord chat invites and the ""Request to Join"" button. This feature requires ""Enable Discord Rich Presence"" be enabled.\noff - Disables support for Discord chat invites and the ""Request to Join"" button","on - Enables support for Discord chat invites and the ""Request to Join"" button. This feature requires ""Enable Discord Rich Presence"" be enabled.\noff - Disables support for Discord chat invites and the ""Request to Join"" button"
Hide Chat and Newsfeed completely with the Chat Hotkey,Hide Chat and Newsfeed completely with the Chat Hotkey
Chat and Newsfeed will be completely hidden when pressing Chat Hotkey (otherwise they will go into the Passive Mode).,Chat and Newsfeed will be completely hidden when pressing Chat Hotkey (otherwise they will go into the Passive Mode).
Discord\n,Discord\n
Create a new private tab for each player you start a discussion with\r (otherswise common Whispers tab will be used).,Create a new private tab for each player you start a discussion with\r (otherswise common Whispers tab will be used).
Enable lock timer,Enable lock timer
on - Tooltips are locked if the cursor doesn't move for a specified time or if the lock key is pressed.\n\noff - Tooltips are only locked if the lock key is pressed.,on - Tooltips are locked if the cursor doesn't move for a specified time or if the lock key is pressed.\n\noff - Tooltips are only locked if the lock key is pressed.
Eco Twitch Integration,Eco Twitch Integration
on - Enables the Eco Community extension when playing on supported servers.\noff - Disables the Eco Community extension.,on - Enables the Eco Community extension when playing on supported servers.\noff - Disables the Eco Community extension.
Enable Discord Rich Presence,Enable Discord Rich Presence
on - Enables rich presence support in Discord\noff - Disables rich presence support in Discord.,on - Enables rich presence support in Discord\noff - Disables rich presence support in Discord.
Unlock delay,Unlock delay
Delay before the tooltip is unlocked.,Delay before the tooltip is unlocked.
Enable Discord Rich Presence\n,Enable Discord Rich Presence\n
Enable Twitch Integration,Enable Twitch Integration
Chat Zen Mode\n,Chat Zen Mode\n
Enable Avatar view,Enable Avatar view
Face tracking Enabled,Face tracking Enabled
Lipsync,Lipsync
Camera devices,Camera devices
Calibrate,Calibrate
Invited\n,Invited\n
Contracts & Work Parties,Contracts & Work Parties
Texture Reviews,Texture Reviews
"Level of Details determines how good environment (like grass, leaves, etc.) looks in game and how far it is visible.\nAlso affects small animals.\n\nPerformance impact: Average","Level of Details determines how good environment (like grass, leaves, etc.) looks in game and how far it is visible.\nAlso affects small animals.\n\nPerformance impact: Average"
STOCKPILE,STOCKPILE
STORAGE CHEST,STORAGE CHEST
Specialties Held:,Specialties Held:
Professions Held:,Professions Held:
Stars Available:,Stars Available:
Textures to Review,Textures to Review
Your Avatar,Your Avatar
Prioritize Selected Language,Prioritize Selected Language
Accept All,Accept All
Reviewers,Reviewers
Systems,Systems
Max Tooltip Cache Size,Max Tooltip Cache Size
"Maximum number of tooltip parts stored in server's cache. Lowering this number can reduce RAM usage, but may impact response time for user's tooltip requests. Changing this setting will take effect after server restart.","Maximum number of tooltip parts stored in server's cache. Lowering this number can reduce RAM usage, but may impact response time for user's tooltip requests. Changing this setting will take effect after server restart."
Add or Remove System Sources.,Add or Remove System Sources.
Track Unremoved World Objects,Track Unremoved World Objects
Tracks the world objects that are still in memory even after removal. Helps to find memory leaks. ,Tracks the world objects that are still in memory even after removal. Helps to find memory leaks. 
Display Name Override,Display Name Override
Original Display Name,Original Display Name
{0} total shelf life by: {1},{0} total shelf life by: {1}
Spawns a corridor-like tunnel that gives entrance to the mines.,Spawns a corridor-like tunnel that gives entrance to the mines.
per {0}m²,per {0}m²
Wanted : ,Wanted : 
For Sale : ,For Sale : 
This {0} no longer exists.,This {0} no longer exists.
Deleted object,Deleted object
Only barter is possible in {0}. The sell cost must be equal or bigger than buy cost.,Only barter is possible in {0}. The sell cost must be equal or bigger than buy cost.
For each citizen perform the following:,For each citizen perform the following:
Unremoved objects: {0},Unremoved objects: {0}
Unremoved components: {0},Unremoved components: {0}
Unremoved component types: {0},Unremoved component types: {0}
Unremoved objects names: {0},Unremoved objects names: {0}
Memory Manager,Memory Manager
Currency exchange tax,Currency exchange tax
Hint,Hint
Total shelf life {0} by {1:P0} due being stored in {2}.,Total shelf life {0} by {1:P0} due being stored in {2}.
increased,increased
decreased,decreased
"The store owner will benefit by {0} in this trade, proceed anyway?","The store owner will benefit by {0} in this trade, proceed anyway?"
Cached tooltip part strings: {0},Cached tooltip part strings: {0}
Max{0}{1},Max{0}{1}
Press '{0}' to wake up.,Press '{0}' to wake up.
Split Stack/Add Labor (100),Split Stack/Add Labor (100)
"Can't leave vehicle, the way out is blocked.","Can't leave vehicle, the way out is blocked."
Create a new tab.,Create a new tab.
Show hidden tabs.,Show hidden tabs.
Shows a list of available channels on the server and allows you to create a new channel.,Shows a list of available channels on the server and allows you to create a new channel.
There are no founded settlements in existence.,There are no founded settlements in existence.
Press 'E' to wake up.,Press 'E' to wake up.
Set Exhaustion Timer Preference,Set Exhaustion Timer Preference
Add or Remove Channels Source.,Add or Remove Channels Source.
A large lumber door with windows allowing moderate sized vehicles through..,A large lumber door with windows allowing moderate sized vehicles through..
A large lumber door allowing moderate sized vehicles through..,A large lumber door allowing moderate sized vehicles through..
[WIP - No functionality yet]Every hit has a chance of destroying tree stumps and splitting trunks immediately.,[WIP - No functionality yet]Every hit has a chance of destroying tree stumps and splitting trunks immediately.
[WIP - No functionality yet] Allows to pick up debris by hand that costs no calories.,[WIP - No functionality yet] Allows to pick up debris by hand that costs no calories.
Dev,Dev
Couldn't Make Aggregated Message,Couldn't Make Aggregated Message
{0} at {1}.,{0} at {1}.
"Can't calculate wealth of citizen in their own personal currency, because it will always be infinite.","Can't calculate wealth of citizen in their own personal currency, because it will always be infinite."
has at least level {0} of,has at least level {0} of
doesn't have at least level {0} of,doesn't have at least level {0} of
is member of,is member of
is not member of,is not member of
demographic,demographic
demographics,demographics
Following conditions,Following conditions
are met:,are met:
are not met:,are not met:
condition,condition
conditions,conditions
Invalid user.,Invalid user.
{0} playtime boost set to {1} hours. Civics tick triggered.,{0} playtime boost set to {1} hours. Civics tick triggered.
"Set a 'boost' that will add to all 'recent playtime' requests for the given player (yourself if null, 2 hours if unset).  Will make players instantly active if set high enough.","Set a 'boost' that will add to all 'recent playtime' requests for the given player (yourself if null, 2 hours if unset).  Will make players instantly active if set high enough."
{0} is not a member of {1},{0} is not a member of {1}
{0} is a member of {1},{0} is a member of {1}
Old,Old
All Other Privileges,All Other Privileges
SPECIAL RATIFICATION PRIVILEGE,SPECIAL RATIFICATION PRIVILEGE
Commands to aid in physics debugging.,Commands to aid in physics debugging.
Spawn cars for physics testing,Spawn cars for physics testing
"Force the vehicle you are looking at to be underground, you need to be the physics controller of the car.","Force the vehicle you are looking at to be underground, you need to be the physics controller of the car."
There shouldn't be a null object as part of the setting list: \n PlayerName: {0} \n Container.Type: {1} \n Container.ToString(): {2} \n new list items: {3},There shouldn't be a null object as part of the setting list: \n PlayerName: {0} \n Container.Type: {1} \n Container.ToString(): {2} \n new list items: {3}
Initial Setup,Initial Setup
NOT FOUND,NOT FOUND
Failed to create derived type of {0} '{1}'. Class does not have a parameterless constructor.,Failed to create derived type of {0} '{1}'. Class does not have a parameterless constructor.
"{0} chunk block data corrupted, reset to empty blocks. Errors: {1}","{0} chunk block data corrupted, reset to empty blocks. Errors: {1}"
Your store cannot buy items. You must first link an inventory to receive them in the storage component tab of the store.,Your store cannot buy items. You must first link an inventory to receive them in the storage component tab of the store.
Minimum durability: {0},Minimum durability: {0}
Loading local server,Loading local server
Add Labor (500),Add Labor (500)
Add Labor (3000),Add Labor (3000)
Copied to Clipboard: {0},Copied to Clipboard: {0}
Change Opacity of Chat Log when in Transparent Mode.,Change Opacity of Chat Log when in Transparent Mode.
Extent of the observable game world that is seen on the display at any given moment in the first person view.\n\nWarning: High FOV can cause graphical glitches.\n\nPerformance impact: Average,Extent of the observable game world that is seen on the display at any given moment in the first person view.\n\nWarning: High FOV can cause graphical glitches.\n\nPerformance impact: Average
on - Enables rich presence support in Discord.\noff - Disables rich presence support in Discord.,on - Enables rich presence support in Discord.\noff - Disables rich presence support in Discord.
Change Chat text size.,Change Chat text size.
"on - Enables support for Discord chat invites and the ""Request to Join"" button. This feature requires ""Enable Discord Rich Presence"" be enabled.\noff - Disables support for Discord chat invites and the ""Request to Join"" button.","on - Enables support for Discord chat invites and the ""Request to Join"" button. This feature requires ""Enable Discord Rich Presence"" be enabled.\noff - Disables support for Discord chat invites and the ""Request to Join"" button."
You are 1/1 in queue,You are 1/1 in queue
Time in Queue 00:00:00,Time in Queue 00:00:00
's Blast Furnace,'s Blast Furnace
Minimum durability:,Minimum durability:
CLOSED,CLOSED
AchievementIcon,AchievementIcon
Max \nDurability:,Max \nDurability:
Buy\nPrice,Buy\nPrice
Immigration Desk,Immigration Desk
Town Foundation,Town Foundation
Country Foundation,Country Foundation
Federation Foundation,Federation Foundation
Town Claim Stake,Town Claim Stake
Country Claim Stake,Country Claim Stake
Copper Plate,Copper Plate
Cotton Lint,Cotton Lint
Flax Trawler Net,Flax Trawler Net
Glass Lens,Glass Lens
Court Chair,Court Chair
Court Table,Court Table
Embassy Desk,Embassy Desk
Galaxy Vase,Galaxy Vase
Glassworks,Glassworks
Orange Vase,Orange Vase
Outpost Netting,Outpost Netting
Outpost Table,Outpost Table
Plant Vase,Plant Vase
Purple Vase,Purple Vase
Red Vase,Red Vase
Steel Moorage Post,Steel Moorage Post
Stenographers Table,Stenographers Table
Swirl Vase,Swirl Vase
Wooden Moorage Post,Wooden Moorage Post
Property Value,Property Value
Center In District,Center In District
Is the average position in the district? Note that this point may not be on a plot of the deed.,Is the average position in the district? Note that this point may not be on a plot of the deed.
Granted Access,Granted Access
Lost Access,Lost Access
Positive Reputation,Positive Reputation
Negative Reputation,Negative Reputation
Transferred Manually,Transferred Manually
Transferred Using Work Party,Transferred Using Work Party
Cultural,Cultural
"A 'Residence' deed will apply housing points towards the Character XP mulitplier, split among the residents.","A 'Residence' deed will apply housing points towards the Character XP mulitplier, split among the residents."
Default Slots,Default Slots
Max number of slots allowed on at one time (negative is infinite).,Max number of slots allowed on at one time (negative is infinite).
Number of additional slots allowed beyond Max Connections for users who have been assigned queue priority permissions. Set to -1 for infinite.,Number of additional slots allowed beyond Max Connections for users who have been assigned queue priority permissions. Set to -1 for infinite.
Audible Distance,Audible Distance
Conversational Distance,Conversational Distance
Audio Fade Model,Audio Fade Model
Audio Fade Intensity By Distance,Audio Fade Intensity By Distance
The maximum distance from which a listener can hear a speaking player. Requires restart.,The maximum distance from which a listener can hear a speaking player. Requires restart.
"Controls the range within which a speaker’s audio remains at its original volume, and beyond which the loudness of the voice chat starts to fade out when heard. Requires restart.","Controls the range within which a speaker’s audio remains at its original volume, and beyond which the loudness of the voice chat starts to fade out when heard. Requires restart."
Specifies the formula or curve that controls the shape of how the audio fades between the ConversationalDistance and the AudibleDistance. Requires restart.,Specifies the formula or curve that controls the shape of how the audio fades between the ConversationalDistance and the AudibleDistance. Requires restart.
"Controls the amplitude of the AudioFadeModel curve, which allows the attenuation of the voice chat loudness to become more or less extreme. Requires restart.","Controls the amplitude of the AudioFadeModel curve, which allows the attenuation of the voice chat loudness to become more or less extreme. Requires restart."
Shelf Life Multiplier,Shelf Life Multiplier
"Adjusts the default shelf life of all foods, with higher values causing food to last longer. For example, setting to 2 doubles the shelf life while setting to 0.5 halves the shelf life.","Adjusts the default shelf life of all foods, with higher values causing food to last longer. For example, setting to 2 doubles the shelf life while setting to 0.5 halves the shelf life."
Culture Enabled,Culture Enabled
"Should the culture system be used, which allows settlements to take over neighboring settlements when their level is high enough?","Should the culture system be used, which allows settlements to take over neighboring settlements when their level is high enough?"
kill,kill
Spawns a plant or plants in a row or grid,Spawns a plant or plants in a row or grid
spawnalltrees,spawnalltrees
alltrees,alltrees
Spawns trees of particular ages in a row,Spawns trees of particular ages in a row
"List all objects of the given type, or 'all types' if left blank.","List all objects of the given type, or 'all types' if left blank."
editbyid,editbyid
Edit the object with the specified ID,Edit the object with the specified ID
removebyid,removebyid
Remove the object with the specified ID,Remove the object with the specified ID
Minutes Between Updates,Minutes Between Updates
We calculate updated procedural starting positions ever X minutes set here. The settlement starting points are updated instantly.,We calculate updated procedural starting positions ever X minutes set here. The settlement starting points are updated instantly.
Citizen Demographic,Citizen Demographic
"Invite a member of a lower-level settlement to become a member of this settlement (or accept their application to do so, if it exists).  The target settlement will also need to perform a civic action to accept the invitation and become a child of this settlement.","Invite a member of a lower-level settlement to become a member of this settlement (or accept their application to do so, if it exists).  The target settlement will also need to perform a civic action to accept the invitation and become a child of this settlement."
"Apply for this settlement to become a member of a higher-level settlement (or accept an invitation to do so, if it exists).  The targeted settlement will also need to perform a civic action to accept this settlement as a child.","Apply for this settlement to become a member of a higher-level settlement (or accept an invitation to do so, if it exists).  The targeted settlement will also need to perform a civic action to accept this settlement as a child."
Settlement we want to remove from our children settlements.,Settlement we want to remove from our children settlements.
"Remove a target settlement from being a child, or rescind its invitation.","Remove a target settlement from being a child, or rescind its invitation."
Cede Child Settlement,Cede Child Settlement
Settlement we want to leave or remove our application from.,Settlement we want to leave or remove our application from.
"Secede from the parent settlement, or cease an application to become a child.","Secede from the parent settlement, or cease an application to become a child."
Secede From Parent Settlement,Secede From Parent Settlement
The citizen or group of citizens we wish to remove.,The citizen or group of citizens we wish to remove.
Remove the citizenship of a given citizen from the settlement.,Remove the citizenship of a given citizen from the settlement.
annex,annex
"Force a given settlement to annex another, if the types support it.","Force a given settlement to annex another, if the types support it."
ignorerequirements,ignorerequirements
nosetreqs,nosetreqs
"Disable Settlement requirements for the session (Ie, dont require child settlements or citizens for a country to spawn.","Disable Settlement requirements for the session (Ie, dont require child settlements or citizens for a country to spawn."
Settlement Type,Settlement Type
Citizenship Of Citizen,Citizenship Of Citizen
The type of citizenship to query.,The type of citizenship to query.
Provides the settlement a citizen is a member of.,Provides the settlement a citizen is a member of.
The settlement being queried.,The settlement being queried.
Settlment Population,Settlment Population
Returns the population of the given settlement.,Returns the population of the given settlement.
Settlment Age In Days,Settlment Age In Days
Returns the age of the given settlement.,Returns the age of the given settlement.
Settlement Influenced Plot Count,Settlement Influenced Plot Count
The number of plots influenced by the settlement.,The number of plots influenced by the settlement.
Settlement Claimed Plot Count,Settlement Claimed Plot Count
The number of plots claimed on deeds by the settlement.,The number of plots claimed on deeds by the settlement.
Settlement Culture,Settlement Culture
The culture value of the given settlement.,The culture value of the given settlement.
culture,culture
Shows commands for controlling culture.,Shows commands for controlling culture.
boost,boost
boostculture,boostculture
"Set a culture-boost to any settlement.  If null is passed, will take the lowest-tier settlement the user is a citizen of, or an arbitrary settlement if they are not a citizen of any.","Set a culture-boost to any settlement.  If null is passed, will take the lowest-tier settlement the user is a citizen of, or an arbitrary settlement if they are not a citizen of any."
Manages the relationship between this settlement and other settlements.,Manages the relationship between this settlement and other settlements.
Defines the type of property and what effects the rooms and furniture have. See Ecopedia.,Defines the type of property and what effects the rooms and furniture have. See Ecopedia.
boostdeed,boostdeed
"Boost the value of the given deed, or the deed at the current position if not specified. Persists across server restart.","Boost the value of the given deed, or the deed at the current position if not specified. Persists across server restart."
unlimitedclaim,unlimitedclaim
"Claims plots in a given rect. If you're already standing on a claim you have auth on, it will use the existing deed. Otherwise, a new deed is created.","Claims plots in a given rect. If you're already standing on a claim you have auth on, it will use the existing deed. Otherwise, a new deed is created."
MemoryManager,MemoryManager
Auto Shutdown Message,Auto Shutdown Message
Reason For Auto Shutdown,Reason For Auto Shutdown
Specifies the message to be sent when the automatic shutdown occurs.,Specifies the message to be sent when the automatic shutdown occurs.
Specifies the reason for the automatic shutdown. Controls what exit code the application closes with.,Specifies the reason for the automatic shutdown. Controls what exit code the application closes with.
Access Action,Access Action
Permissions Changed,Permissions Changed
Citizen Changed,Citizen Changed
Bank Account Permissions Changed,Bank Account Permissions Changed
The citizen who updated the bank account permissions.,The citizen who updated the bank account permissions.
The bank account that got updated.,The bank account that got updated.
Did the user gain or lose access to the account?,Did the user gain or lose access to the account?
The specific permissions that got updated.,The specific permissions that got updated.
The user that gained or lost access to the bank account.,The user that gained or lost access to the bank account.
A citizen changed the managers or the users of a bank account.,A citizen changed the managers or the users of a bank account.
What the type of property is being initially set to.,What the type of property is being initially set to.
Reputation Receiver,Reputation Receiver
Reputation Sender,Reputation Sender
Reputation Transferred Sign,Reputation Transferred Sign
Reputation Source,Reputation Source
Reputation Amount Transferred,Reputation Amount Transferred
Reputation Transfer,Reputation Transfer
The citizen who's receiving the reputation.,The citizen who's receiving the reputation.
The citizen who's sending the reputation.,The citizen who's sending the reputation.
Was the transferred reputation positive or negative?,Was the transferred reputation positive or negative?
Was the reputation transferred manually or from a labor party?,Was the reputation transferred manually or from a labor party?
The amount of reputation that was transferred.,The amount of reputation that was transferred.
A citizen transferred reputation to another citizen.,A citizen transferred reputation to another citizen.
Destroyed By Block,Destroyed By Block
Was the plant destroyed by block or not?,Was the plant destroyed by block or not?
A single item crafted from a completed work order.,A single item crafted from a completed work order.
"Allows citizens to perform certain civic actions, which affect the government associated with this object.","Allows citizens to perform certain civic actions, which affect the government associated with this object."
"Provides a tool for claiming property around this object.  By adding claim papers from Settlements, you can increase the number of plots you can claim.","Provides a tool for claiming property around this object.  By adding claim papers from Settlements, you can increase the number of plots you can claim."
"As more citizens join a Settlement, more claim papers and stakes will be spawned here.  These can be used to claim more land.","As more citizens join a Settlement, more claim papers and stakes will be spawned here.  These can be used to claim more land."
Spawned Claims,Spawned Claims
Basic election process will be changed according to these values. This values will also be used as defaults for newly created election processes.,Basic election process will be changed according to these values. This values will also be used as defaults for newly created election processes.
setplaytimeboost,setplaytimeboost
Immigration Context,Immigration Context
Allow Applicants,Allow Applicants
Hours Failing Requirements Before Removed As Citizen,Hours Failing Requirements Before Removed As Citizen
Allow New People To Instantly Join,Allow New People To Instantly Join
Advertisement To New People In World,Advertisement To New People In World
initialspawn,initialspawn
Controls initial spawn.,Controls initial spawn.
update,update
Force update the spawn position now.,Force update the spawn position now.
Lists the initial spawn positions currently active.,Lists the initial spawn positions currently active.
Access to forests for logging,Access to forests for logging
Wild food for foraging,Wild food for foraging
Plains for farming,Plains for farming
TwitchPlugin,TwitchPlugin
When enabled users who have their Twitch account link and twitch support enabled in their settings will be able to show information about this server on their Twitch channel and allow chat interaction if configured.,When enabled users who have their Twitch account link and twitch support enabled in their settings will be able to show information about this server on their Twitch channel and allow chat interaction if configured.
List containing the SLG ids of all users who can use the chat interaction features of the Eco Community extension. If this list is empty anyone can use these features.,List containing the SLG ids of all users who can use the chat interaction features of the Eco Community extension. If this list is empty anyone can use these features.
message,message
countX,countX
countZ,countZ
space,space
id,id
source,source
overwriteExistingClaims,overwriteExistingClaims
hoursBoost,hoursBoost
Could not find object with ID {0},Could not find object with ID {0}
