English,Portuguese
Open your backpack.,
Get Equipped,
You've got some tools in your tent you can use to collect more resources. Grab those now.,
Open your tent.,
Click the storage tab.,
Start a Stockpile,
"Next to your tent there is a small stockpile, let's fill it with wood to use in crafting.",
Chop the fallen log into pieces.,
Place 10 logs in the stockpile by your tent.,
Make a Workbench,
Find the Workbench Recipe and click 'Order'.,
Prepare Logs for Building,
Click 'Work' to spend calories on the crafting project.,
"When complete, pick up the hewn logs from the storage tab.",
Claim More Land,
Build with a Hammer,
Share Your Property,
You can set who is able to use your property for both objects and deeds.,
Click the authorization tab.,
Open the Deed by clicking the property name. Add friends to the authorized list if you like.,
You can use a machete to move faster through thick vegetation.,
Build a House,
Complete your shelter to begin earning experience from it.\n,
"Craft more hewn logs, and fully enclose a room with walls and a ceiling.",
Level the Landscape,
Use a shovel to move dirt.,
Target the ground and hold left mouse button.,
Mine Some Ore,
"To mine, first break rocks into smaller pieces, then pick up the pieces.",
Choose a Specialty,
"Choose a profession and specialty, and later you may trade the fruits of your labor with your fellow citizens.\n",
Specializations are grouped into professions. Inspect a profession by mousing over its specialties.,
Browse the Ecopedia,
"You've reached the end of the tutorial, but there's much more depth to explore.",
"The Ecopedia is your go-to source of information. There, you can look up and browse how all the systems work: like climate, nutrition, civics, residency, power, pollution, and much more.",
Find Food,
Eat a Balanced Diet,
"You're low on calories, find wild food in the area..",
Find more wild food in the area.,
Eating a balanced diet will let you gain XP faster.,
Use the bed in your tent.,
Take a Nap,
"To pass time faster, you can sleep in a bed.",
A profession is not a specialization.,
"This will remove the specialty {0}, which will reset all talents gained and refund you with {1} of XP ({2}). This will also permanently drop the level of {3} to 0. Continue?",
Cannot unspecialize while haveing a work order in progress that is using that specialization,
You must wait {0} day(s) before unspecializing again.,
Plot claimed for {0}.,
Plot unclaimed for {0}.,
Objects destroyed: {0},
Configure Settlement Spawns,
Spawn a debug set of settlements.,
Return {0} to {1}.,
Have more citizens join the settlement.,
Removed {0} from {1} due to lack of supporting population levels.,
Property crisis has been resolved!,
"Property crisis still active, still need to return {0}.",
The population of {0} has increased to {1}.,
{0} have been added to {1}.,
Property Crisis for {0} resolved.,
Removed {0} {1} from {2},
Removed placed {0} at {1}.,
property crisis,
{0} has solved it's property crisis!,
{0} new {1} items,
Join {0},
The {0} {1},
{0} Immigration Policy,
{0} Constitution,
Laws Affecting Current Position,
Law,Lei
Make a given citizen remove all its citizens (or all settlements if none passed).,
Citizen of {0},
"You are already a citizen of {0}, are you sure you want to abandon that and become a citizen of {1}?",
Starts a deed for {0} when placed.,
You can now claim {0} more plots on {1} ({2} total).,
You can now claim {0} fewer plots on {1} ({2} total).,
Default Plots from Stake: {0},
Total: {0} ({1} currently claimed).,
Default Plots from Stake:,
Claims From {0}:,
{0} ({1} currently claimed).,
This is not on owned property and no plots can be claimed.,
Plot Sources,
Claim Papers are in use. Unclaim plots first.,
this.DescribePlotsClaimed,
Current citizen count in {0}: {1},
Items contributed towards property crisis successfully.,
this inventory,
properties,
{0}'s Property,
Your property {0} has a home value of {1} and you can set it as your residency. \n {2},
Set Residency,
Change Residency,
You have {0} remaining until you feel exhausted,
You are feeling quite exhausted and can't work another minute! You can work again in {0},
You are too exhausted to expend more calories. You can work again in: {0},
Exhaustion,
"On this server, you are set to become exhausted after {0}. Once you are exhausted, you can still interact in the world, but cannot spend calories.",
Check your exhaustion level.,
Can't seed a tree within {0} meters of another tree.\n\nClosest tree is {1} at {2:N1} meters {3}.,
Is a {0},
You cannot schedule maintenance for {0}. Automatic maintenance is scheduled at {1}.,
Maintenance cannot be in the past.,
User maintenance already scheduled. Clear the existing user maintenance first.,
Invalid date and time,
Next maintenance at {0},
Server is shutting down {0}. Reason: {1}.,
Server is scheduled to shutdown at {0}. Reason: {1},
No maintenance scheduled.,
Server shutdown has been cancelled.,
Previously scheduled shutdown has been cancelled. Auto maintenance shutdown will happen in,
Maintenance,
Use Ctrl+Click to apply {0}x calories.,
Use Alt+Click to apply all calories,
calories of {0} labor,
Can't perform action without user,
Cannot plant in the skies.,
Harvested from Species,
Wooden Barge,
Small Wooden Boat,
Unable to {0} here. You reached the sky!,
You briefly faint and lose control of the {0}. You are starving!,
General Goods,
earned,
spent,
Take {0},
Labor on {0},
You do not have the ability to remove this in the constitution: {0}.,
{0} List,
Global constitution isn't created properly,
Immigration Policies,
Immigration Policy,
Can't find election!!,
Cannot execute civic actions without a valid Constitution on {0}.,
Finished in {0} sec,
ID already existed in universal id table,
Steam Game Server initialized,
Error downloading mods,
Requires {0} Level {1},
{0} Researching,
Discovered by: {0},
{0} Level {1}:,
Recipes unlocked at {0},
Cart,
Total size of cached strings: {0}kb,
(queried from server),
Client Tooltip Cache:,
Out of stock.,
Select Item Filter,
{0} stacks hidden by filter.,
Achievements:,
Do you wish to receive {0} {1} in exchange for your {2} {3}?,
Editor was closed because {0} was deleted.,
To {0},
{0} whispers,
SearchableListUI is not support type {0},
"{0} plots, {1} sq m.",
Wardrobe,
Claims,
"Can't leave vehicle, the way out is blocked",
Select Items for {0},
Unknown Source,
Completed the {0} tutorial,
Glass Refraction,
High Quality Water,
Mod Image,
Hand,
Server ID: {0},
Changes the distance at which game objects are rendered.\r\n\nPerformance\r impact: High,
Volumetric Lighting,
Used to simulate outdoor light rays in the enviroment.\n\nPerformance Impact: Average,
\nAllows carts to be controlled by mouse in addition to keys. Also returns old way of carts behavior as it was in earlier versions.,
Effect used to reproduce an imaging artifact of real-world cameras.\n\nPerformance Impact: Average,
Extent of the observable game world that is seen on the display at any\r given moment in the third person view. Bounds depend on camera distance.\n\nPerformance\r impact: None,
Autocraft\n,
Master Input Inventories Toggle,
"Switching On/Off all Linked Inventories' ""Input Inventory"" toggle at once.",
Master Output Inventories Toggle,
"Switching On/Off all Linked Inventories' ""Output Inventory"" toggle at once.",
The store is opened for customers. \nYou can temporary close it by switching the toggle.,
Expand/Collapse children,
Expands or collapses the children settlements,
"The hammer can shape the material into many forms: windows, floors, stairs, etc.",
How to Build,
All the forms can be built one at a time or in multiples.,
You can select this in the building menu as well.,
Scroll to bottom,
Copy to clipboard,
Food Panel Unlocked,
Housing Panel Unlocked,
You can discover new specialties and unlock new recipes by reading skill scrolls.,
Skills Panel Unlocked,
Choose professions and specialties here.,
Rent\n,
These benefits can be improved by leveling-up the specialty.,
Baker,
How to Level-Up,
Option,
How to Craft,
Post\n,
"Chat channels help us to organize chat messages into specific topics. You can filter which channels to listen to in your chat tab settings. \nTo write a message to your channel, use # symbol (<i>e.g. #General</i>).",
Set up chat sources to be visible within this chat tab.,
Display Filter,
Display only selected items.,
Clear filters,
"Clear all active filters, including any name filters.",
Collapse/Expand all,
Expands or collapses all linked inventories.,
Repair\n,
\nShift clicking a tool will add it to repair slot or inventory\nShift clicking button will repair tool and pull it back to inventory,
Your duties are driven by the ratified Constitution,
Input Inventory,
Output Inventory,
Debug translations (QA ONLY),
"Force chinese locked mode (QA ONLY, WILL QUIT GAME)",
UI Volume,
Information about a house on the deed.,
"A list of residents on this property. \nResidents gain points from housing values, and only private property can have residents.",
General information and settings for the deed.,
Manage rent and invite citizens to be residents on the deed.,
Who can access,
Tech Tree,
Channels managers list,
"Who can edit your channel settings, can be User, Demographic, or a Title",
Chat tab settings,
Channel users list,
"Who can read this channel, can be User, Demographic, or a Title",
Channels you can only read and write,
"Channels you can read, write, and you have manager privileges",
Item Description of the type of item we are.,
Yours:,
Quick Swap Set,
"Place claim papers from settlements (towns, countries, federations) to boost how many plots you can claim on this stake.",
"As new citizens join this settlement, more claim papers and claim stakes will be spawned, allowing more land to be claimed. \n\nUse the land claim stakes to claim additional plots.  Add the claim papers to claim stakes in the town to increase the number of plots that can be claimed.",
Filter is hiding stacks,
New tab created per whisper,
Chat Font Size,
Voice Users,
Getting started!,
"Click to set rent on the property.\n\nRent is locked in when a citizen becomes a resident, and rent changes will not be applied unless they leave residency and return.\n\nOwners are not subjected to rent or move-in fee.",
Researching...,
Discovered by:,
This object has no built-in storage.\nPlace a storage nearby to link it here.,
Consolidate,
Consolidate content from all inventories to take up the least possible inventory space,
Linked inventories,
In this section you can see inventories that are within range to be accessed.\nYou can move items between all inventories.,
Open Deed,
In exchange for,
Offering (Owner Currency),
Attached Claim Papers,
Spawned Claim Papers and Stakes,
Reserve:,
Price:,
Maximum value,
The maximum value represents the maximum amount of this currency that your account will hold in case you exchange for it.,
Minimum value,
The minimum value represents the minimum amount of this currency that your account will hold in case you offer it.,
Applied,
Pending,
Roster Title,
Edit Channel,
You have access to edit this channel,
Approve,
Invite New Citizens,
Delete Channel,
You have access to delete this channel,
Accept Invitation,
Leave,
Ramps Down/Up,
Capture,
Emote Selection,
Hardwood Lumber Dresser,
Lumber Dresser,
Softwood Lumber Dresser,
Trade failed: {0} doesn't have {1} {2},
Move the {0} to your toolbar and select it.,
Place your starting camp in a good location (easy access to wood is especially important to start).,
You must select at least one bank account.,
Networked objects activated!,
Required Ingredients,
Checkout,
"You can't add more {0} to the cart, no more wanted.",
"You can't add more {0} to the cart, not enough stock.",
You have: {0},
Sell to {0} for: {1},
Quantity wanted: {0},
Buy from {0} for: {1},
Quantity available: {0},
Limit,
Reserve,
Maximum amount allowed to buy.,
You don't have any of this item to sell.,
{0} Wanted,
Chat Settings,
District name​,
Allows the Store to Sell Items from all Linked Inventories,
Allows the Store to Buy Items into any Linked Inventory,
Amount needed:,
+ 82 items hidden from filter,
Work Station Output Inventory,
When enabled - connected workstation is allowed to place products into this inventory.\nClick this to change a state.,
Work Station Input Inventory,
When enabled - connected workstation is allowed to take resources from this inventory.\nClick this to change a state.,
Time remaining:,
Keys,
Your world will be unlike any other.,
Allow Friends to join,
Your friends will be able to join your world.,
Face Emotes,
Body Emotes,
Show Locked Benefits,
Common,
Select Property for,
Eco-Plate for me and you.,
Boom Up/Boom Down,
Take / Place,
Put / Cancel,
"Should the settlement system be used, or should the old style be set? (Note: this system is not finished yet and is currently disabled)",
"Change owner of current target, if the target is a store it will change it without closing it.",
Is Vehicle,
Is the object a vehicle?,
Elk Species,
Fox Species,
Hare Species,
Jaguar Species,
Moon Jellyfish Species,
Mountain Goat Species,
Otter Species,
Pacific Sardine Species,
Prairie Dog Species,
Salmon Species,
Snapping Turtle Species,
Tarantula Species,
Trout Species,
Tuna Species,
Turkey Species,
Wolf Species,
Crushed Stone Road Lv2,
Crushed Stone Road,
Crushed Mortared Stone Lv2,
Crushed Mortared Stone,
A mixture of rocks that can be used in a variety of recipes or simply as landfill.,
An unexpected network disruption occured while handling an RCON connection.,
Using tools requiring calories,
Trading,
Setting up contracts,
{0} For Sale,
{0}\nGuide,
The amount of objects shown on the minimap and its actual quality.\n\nPerformance impact: Average,
"Enables / disables voice chat, this includes speaking and listening to other players.",
Used to simulate outdoor light rays in the environment.\n\nPerformance Impact: Average,
OK \n,
Accept\n,
Mark Failed\n,
Show Interact Cursor\n,
Add New Entry\n,
Start\n,
No\n,
Yes\n,
Housing\n,
Residents\n,
Residency\n,
\nThe list of players who have access to the deed.\nThese players will have full authority  for objects on the deed.,
Q,
Recalculate\n,
Edit\n,
Restart Tutorial\n\n,
Property On Deed:\n,
Work\n,
Settlements\n,
Manage Rent\n,
Min \nDurability:,
Set\n,
Invited Residents\n,
Resources\n,
Expand / collapse all trade groups.,
(Applied),
(Invited),
Who can Access,
Housing points,
Mac's Mansion,
Preview,
5 hours teaching time queued (1.5 classes),
6 Hours,
Wave,
Salute,
Pinned,
Important,
Shows commands to profile the server and generate diagnostic data.,
Achievements Enabled,
Camera Mode Enabled,
Should the Camera mode be enabled? (Note: this system is not finished yet and is currently disabled),
List of different teleportation commands,
repopulateanimallayer,
Reset animal sim population to initial values (as it was on world generation),
Shows commands for building and tech tree manipulation,
Shows Commands related to chat.,
Shows commands related to notifications.,
"Shows commands allowing to list, add, remove, and clear many things in the game (including laws, titles, elections, bank accounts, and many more). Ex: /objects remove laws, Law 1",
Shows commands for performing an animated emote.,
wave,
sit,
bow,
salute,
Shows commands for controlling settlements.,
Shows commands for rooms manipulations.,
Shows commands for property manipulations.,
Shows commands for changing things about users.,
Shows commands for users administration.,
Shows commands for manipulating money.,
Shows commands related to the economy.,
Shows commands for manipulations with meteor.,
Shows commands related to user-defined districts.,
"Once an election of this type completes, another of the same type cannot be started for this many days.",
Shows commands for viewing and manipulating player titles.,
Shows commands for avatars manipulation.,
Shows commands for world pollution manipulation.,
Shows commands for skills,
Shows actors related commands,
A stockpile for distributing items to new players. Allows you to choose a specific set of items which each new player will be able to take.,
A campsite.,
A porcelain bathtub for when you need to get clean or just relax.,
The assembly line allows for mass production of mechanical products.,
An ashlar stone bench. Great for display though maybe not as comfy as a padded couch.,
A fancy ashlar stone table that has been adorned with gold.,
All citizens are survivalists in the world of Eco. How can you save the world if you can't save yourself?,
Metal is an important part of progress and smelting is the first step into a new age. Levels up by crafting related recipes.,
Self-improvement increases both the amount of weight citizens can carry and their stomach capacity. It also decreases the calories expended when using hammers and shovels. Experience is gained when leveling up other specialties.,
Pottery is an advancement in masonry and can provide an excellent building material for communities. Levels up by crafting related recipes.,
Paper to carry the written word. Or used to stuff in bookshelves. Levels up by crafting related recipes.,
"While it takes some advanced tools and constructions, harvesting and refining oil can be an important step. Levels up by crafting related recipes.",
Hitting rocks with a pickaxe can be surprisingly difficult. Levels up by breaking rocks.,
Milling various products can create important materials for baking and other uses. Levels up by crafting related recipes.,
Mechanics for more advanced creations. Levels up by crafting related recipes.,
Rocks and mortar can provide a suitable building material alternative to wood. Levels up by crafting related recipes.,
Wood is a useful resource and cutting down trees is a skill anyone can appreciate. Levels up by felling trees and clearing debris.,
Advanced industrialization to produce larger machines and advanced technology. Levels up by crafting related recipes.,
Hunt animals for skin and meat. Levels up by successfully hunting.,
Glassworkers have improved ability to create glass which can be used as a clear building material or framed in steel to create a more industrial look. Levels up by crafting related recipes.,
Gathering covers harvesting materials from both the natural environment and human-created farms. Levels up by gathering plants - farmed or natural.,
"Adding additional nutrients to the soil can improve farming yield or, if overdone, ruin it. Levels up by crafting related recipes.",
The art of planting and cultivating flora. Levels up by crafting related recipes and using the hoe.,
Electronics improves the recipes for many advanced materials needed for advanced technology. Levels up by crafting related recipes.,
Cutting edge cooking works with ingredients that don't quite sound like food but can potentially provide high calorie and nutrition. Levels up by crafting related recipes.,
The basics of cooking in a more civilized environment give bonuses to a variety of food recipes. Levels up by crafting related recipes.,
Allows the construction of advanced wood products for furniture and houses. Levels up by crafting related recipes.,
Cutting logs into usable crafting and building materials is an important skill for budding communities. Levels up by crafting related recipes.,
Advanced techniques for producing food over a campfire with a little less burned and a little more golden brown. Levels up by crafting campfire recipes.,
Butchery allows for more usable products to be harvested from hunted animals and fish. Levels up by crafting related recipes.,
Basic Engineering allows easier construction of roads and gives access to early forms of mechanical power. Levels up by crafting related recipes.,
An introduction to cooking with an oven. Levels up by crafting related unleavened recipes.,
Advanced smelting aids in the production of steel - a key ingredient in the progress of any group. Levels up by crafting advanced smelting recipes.,
Advanced masonry allows the production of high-quality stone furniture and material for houses. Levels up by crafting related recipes.,
Advanced cooking techniques for producing more complex foods. Levels up by crafting advanced cooking recipes.,
Advanced baking mostly improves recipes that involve a leavening agent. Levels up by crafting advanced baking recipes.,
Basic Upgrade that greatly increases efficiency when crafting Tailoring recipes.,
Modern Upgrade that greatly increases efficiency when crafting Tailoring recipes.,
Modern Upgrade that greatly increases efficiency when crafting Mechanics recipes.,
A dead turkey.,
An extremely useful synthetic material derived from petrochemicals.,
Provides speed and torque conversions from a rotating power source to another device.,
An iron bolt used to hold together inventions.,
"A crustacean that loves the ocean, just don't get caught in its pinch!",
A blue shark.,
"A dressed salad that, with the added sweetness, it's pretty tasty.",
Colocasia esculenta.,
To give thanks for the fact that this food gives two extra nutrients than other food items of the same tier.,
A thick stew chock-full of meat and charred vegetables. A surprisingly good combination.,
"Comforting, best served hot from the griddle.",
Round and large.,
Nice fresh Pineapple.,
Nice fresh Papaya.,
A sweet pastry that is great for breakfast or anytime you need a quick boost of energy.,
Deep fried Camas. Bit greasy.,
Tiny Cup Mushrooms.,
Agave leaves that have been charred over a campfire.,
"A thick stew chock-full of meat, camas, and corn. A surprisingly good combination.",
Boletus edulis.,
Baked taro root.,
A multipurpose filler that is made from what you have available.,
"An excellent fertilizer that provides a mix of nutrients, but especially potassium.",
It just looks cool.,
"A fossil fuel essential for manufacturing gasoline, plastics, and asphalt. Its extraction, transport, and burning all have environmental impacts.",
A dusty surface formed by tampering dirt with a road tool. It's servicable for any wheeled vehicle.,
"To discover skill, construct a {0} at a {1}.",
Shows commands for preforming debugging and hard testing commands.,
Shows commands for spawning a storage with predefined set of items in the game,
Click to activate this channel in the Chat input.,
Cannot remove a pinned tab,
Cannot delete a pinned tab,
It doesn't taste great.,
...and {0} other items,
Shows commands related to work parties.,
This position can be replaced by a new election now.,
{0} {1} block {2} passed: {3},
Shows commands related to world stuff.,
Shows commands for tutorials.,
Use a hammer to start building a house from the logs you've processed.,
Here you can control access to your tent.\nYou can also configure access to your entire property as follows:,
Objects Containing {0},
"The skill scroll can't be created, there is not enough space in the inventory.",
Shows commands for a variety of housing operations.,
Shows commands for crafting process.,
Shows commands for common testing scenarios.,
"Create all the government objects in their needed buildings near you, ratify the constitution, and add at least one of each civics object to their tables. Pass 'false' to make the constitution not require elections to make changes.",
Shows commands for achievements.,
"You can't sell {0}, you don't have this item.",
"You can't buy {0}, it's out of stock.",
Server dirtied tooltip parts:\n{0},
Ctrl+Click,
Alt+Click,
How much debt would you like to pay off to {0}?,
You owe {0}.,
"Wrong number of arguments. Expected arguments count: {0}, but {1} extra args present.",
"Wrong number of arguments. Expected arguments count: {0}, but {1} arguments missing.",
Wrong argument value. Can't convert argument {0} to {1}.,
UI cache enabled,
UI cache disabled,
UnknownSource,
Profiling data snapshot saved to {0},
Start taking profiling data snapshot and saving to {0} (for next {1:N} seconds)...,
Toggle All Source Inventories,
Allow the store to sell items from all linkable storage,
Toggle All Destination Storages,
Allow the store to deposit purchased items into all linkable storage,
Toggle Source Inventory,
Allow the store to sell items from this storage,
Toggle Destination Storage,
Allow the store to deposit purchased items into this storage,
Toggle All Crafting Inputs,
Toggle All Crafting Outputs,
Toggle Crafting Input,
Toggle Crafting Output,
How much debt would you like to pay off to {debt.Lender}? \nYou owe {Text.StyledNum(debt.Am,
Selected: 0,
Multiple rooms with different types of furniture in each one will give you a bonus.,
Expands or collapses all linkable inventories.,
Transparent mode opacity,
Linkable inventories,
53m NW,
Wanted,
Quantity:,
Backward/Forward/Left/Right,
Rotate Left/Rotate Right,
Drop / Pull Hook,
+8 slots hidden from filter,
Total {0}: {1},
Revolting!,
Horrible!,
Yuck.,
Yum!,
Delicious!,
Incredible!,
"The quality of your diet increases your {0}, which raises your XP faster.",
Nutrition Multiplier,
calories,
nutrition,
"{0} at {1}, {2}",
You find this food tastes {0},
This {0} is unable to move underwater. Dismounting.,
This {0} is unable to move underwater,
Are you sure you want to disconnect?,
Allow the store to sell items from all linkable storage.,
Allow the store to deposit purchased items into all linkable storage.,
Allow the store to sell items from this storage.,
Allow the store to deposit purchased items into this storage.,
Allow the Crafting Table to use ingredients from all linkable storage.,
Allow the Crafting Table to place finished products into all linkable storage.,
Allow the Crafting Table to use ingredients from this storage.,
Allow the Crafting Table to place finished products into this storage.,
Show hidden tabs,
Quit Game,
Exit To Main Menu,
LINKABLE INVENTORIES,
"In this section you can see inventories that are within range to be accessed by this object.\n\nThis object will input and output automatically to the inventories you select here, prioritized according to their order in this list.",
WANTED,
FOR SALE,
Complete Trade,
ADD TO CART,
Shopping Cart,
SELECTED,
Change Chat text size,
Transparent mode opacity\n,
Change Opacity of Chat Log when in Transparent Mode,
News Feed,
Enter name...,
Build Form\n,
Resume,
The value must be between 0.25 and 100.,
dottrace,
Profiling active,
Ready to run profiling,
Profile CPU with dotTrace,
Right-click to learn {0} (consumes item),
You already know this skill,
Update,
Click to modify selection,
Failed to give {0} reputation because {1} has given their max daily reputation.,
{0} is now,
{0} more,
"{0} is empty, nothing to move.",
Destination container must be different from the source.,
"Cannot transport unique items (tools, deeds, etc).",
Craft a {0} using the resources you've collected.,
"When finished crafting, retrieve the {0} from the storage tab.",
You'll need to strip your logs of bark at your {0} to build with them.,
Place down your {0}.,
Open the workbench and find the {0} Recipe. Click 'Order'.,
Collect at least 4 {0} in hand.  Make more if needed.,
Select on toolbar and right-click to place,
Right-click to create a {0}.,
Right-click to consume,
Current Research Work Orders:,
Hidden Tabs,
Click to close EcoLog,
New Message Badge Visibility,
Note: Modifying these values may result in an unpredictable outcome. \r\nChange them if you know what you are doing.,
Expand / collapse advanced settings,
Non-Baker,
Available channels:,
Create a new channel,
Channels list,
Seconds,
Minutes,
The address of a Discord server used for players on this world.  Should only include the portion after 'https://discord.gg/' as that will be filled in.,
Face Tracking Enabled,
Allows players to use facetracking feature,
Should the achievements be enabled or not? (Note: this system is incomplete),
Displays info on what settlement this claim stake is tied to.,
Target Settlement,
"Invite a member of a lower-level settlement to become a member of this settlement (or accept their application to do so, if it exists).",
"Apply for this settlement to become a member of a higher-level settlement (or accept an invitation to do so, if it exists).",
Displays and sets the settlement that is the parent of this claim stake.,
Settlement Name,
Loaded,
Percent Of Days To Be Active For Long Term Demographic,
Percent of days a user needs to be considered active (as determined by other property) to be in the 'Long Term demographic'.  1 = 100%,
Revoke Citizenship,
Revoke the citizenship of a player.,
Player who's citizenship is being revoked.,
Hours Required,
Days Active,
'Active' days count of a citizen. (A day is considered 'Active' if citizen was online for more than the required amount of time per day),
The citizen whose 'Active' days we are counting.,
Minimum required amount of hours a citizen must be online for a day to be considered active.,
Age Format,
World's age in desired time units.,
Time unit of the world's age.,
Long Term,
Wood Shop Cart,
Look Left Right,
Look Down Up,
Crouch,
Interact Left,
Interact Right,
Clockwise,
C Clockwise,
Show Marker,
Shift Input Modifier,
Ctrl Input Modifier,
Alt Input Modifier,
Tool Slot_1,
Tool Slot_2,
Tool Slot_3,
Tool Slot_4,
Tool Slot_5,
Tool Slot_6,
Tool Slot_7,
Tool Slot_8,
Tool Slot_9,
Tool Slot_0,
Open Backpack,
Switch Tabs,
Open Minimap,
Open Objectives,
Open Econ,
Open Graphs,
Open Government,
Open Tech Tree Visualizer,
Vehicle Alt Control,
Vehicle Boom Down Up,
Vehicle Boom Pull Push,
Vehicle Swing Arm Down Up,
Vehicle Ramps Down Up,
"Text is too long, max length excluding tags cannot exceed {0} characters",
Text must be at least {0} characters long.,
Reset all players chat settings and tab settings,
You are not allowed to edit {0}: {1},
You are not allowed to remove {0}: {1},
Operation is not allowed for special channel,
You are not a manager of this channel,
You don't have access to this channel,
Store Hotkeys,
{0} to move,
{0} to copy,
{0} to remove,
{0} to select,
Drag,
Shift + drag,
Right-click,
Left-click,
Alt + Right-click,
Ctrl + Right-click,
Shift + Right-click,
"Special entry name ""{0}"" is occupied by non-special entry ""{1}"", renaming to ""{2}",
Can't unclaim plot: deed no longer exists,
The object was already destroyed,
Fullscreen Map,
Windowed Map,
"Do you wish to transfer this property, with the following objects, from {0} to {1}? {2} {3} All property authorizations will be removed.",
"Do you wish to make this property, with the following objects, unowned? All property authorizations will be removed.",
"You can't add {0} to the cart, no more wanted.",
Created by {0}.,
No more wanted.,
"You can't add more {0} to the cart, you don't have more to sell.",
"An explanation of all the concepts in Eco, and how everything works.",
Waste Filter does not require a source inventory.,
Toggle All Output Storages,
Allow the Waste Filter to output Compost into all linkable storage.,
Toggle Output Storage,
Allow the Waste Filter to output Compost into this storage.,
Allows the Mint to use backing material from all linkable storage.,
Mint does not require a destination storage.,
Allows the Mint to use backing material from this storage.,
Eco Log,
Toggles Eco Log panel.,
Create a new tab,
Shows a feed of activity from all citizens in the world.,
Shows a list of available channels on the server and allows you to create a new channel,
Minimize Map,
Sources:,
Add items,
Select items to sell and add them to the store. The items will be grouped in a category,
Add category,
Creates an empty category for items in sale. You can move existing items to the new category or press the option button to add new ones,
Select items you want to buy. The items will be grouped in a category,
Creates an empty category for items you want to buy. You can move existing items to the new category or press the option button to add new ones,
Open tab settings,
Tooltips,
Available,
Remove from Users,
Click to remove from the Users list.,
Remove from Managers,
Click to remove from the Managers list. \nYou can't remove creator of the Channel.,
Your Transfers,
"Multiplier applied to the cost of learning a specialty. Values below 1 decrease speciality cost, above 1 increase speciality cost.",
"Multiplier applied to the rate of skill points gained over time. Values below 1 decrease the rate, above 1 increase the rate.",
"Multiplier applied to crafting resource cost. Values below 1 decrease crafting resource cost, above 1 increase resource cost.",
"Multiplier applied to crafting time. Values below 1 decrease crafting time, above 1 increase crafting time.",
"Multiplier applied to item max stack size. Values below 1 decrease max size, above 1 increase max size.",
"Multiplier applied to item weight. Values below 1 decrease item weight, above 1 increase item weight.",
"Multiplier applied to fuel yield per unit. Values below 1 decrease yield, above 1 increase yield.",
The value must be between 0.5 and 10.,
"Multiplier applied to storage connection range. Values below 1 decrease range, above 1 increase range.",
"Factors into experience per level for specialties. Default is 25, higher values increase experience requirement, lower values reduce it.",
Percentage of speciality experience that is also gained as level experience. Not recommended for public servers. Default: 0,
nettrace,
"Evict the targeted user, or self if none is targeted.",
Make the targeted user a resident on the deed at your current position.  Use 'self' if no target asset.,
Room Category Diminishing Return Rate,
Repeated rooms earn this multiple value of the previous ones. This makes duplicate rooms less valuable in a house.,
Work Contributed,
Sets the sales tax. Accepts decimals as a percent and with no rate provided the default is 10%,
{0} and {1} more,
and {0} more,
Profile CPU with netTrace,
Not yet learned. You must use a {0} to acquire skill.,
Send private message to self from a specified user.,
{0}: {1} performed {2}. {3} done.,
{0} added {1} to {2}. {3} done.,
Block Removal Site,
You marked your contract as failed:,
{0} posted a new contract {1}:{2}.,
You accepted contract from {0}: {1}\n{2} {3},
Target bank account is invalid.,
{0} of {1} executing on {2} timer.,
occupied by {0},
unoccupied,
{0} tried to operate on {1} via {2} but is not authorized.,
"Maybe they clicked a button that should be hidden, or the the access requirements are not set correctly. Please report this to the devs.",
Open 'World layers / Environment data'. Select an item from any category. E.g You can find where is the ice biome,
Learn a specialty under any profession.,
{0} claimed {1} new {2}.,
{0} unclaimed {1}.,
Block was already destroyed,
were taxed from your account,
transferred to your account,
You can only set no managers if there are entries in the '{0}' list.,
Transfer from {0},
Transfer from {0} to {1} for {2},
"Spawn a transaction for economy history. Could be used to check persistent ids, since it saves it as a cached string.",
{0} contains invalid elements: {1}. Removing them.,
Failed for {0},
Toggle chat zen mode,
Toggle chat passive mode,
Are you sure you want to reset all graphic settings?,
Are you sure you want to reset all audio settings?,
Are you sure you want to reset all control settings?,
Transparency mode will preserve a New Message Badge on a tab.,
Create a new private tab for each player you start a discussion with (otherswise common Whispers tab will be used).,
Chat Zen Mode,
Chat and Newsfeed visual state can be changed with the Chat Hotkey (otherwise the Chat Hotkey won't work at all).,
Hide Chat and Newsfeed completely with the Chat hotkey,
Transparensy mode will preserve a New Message Badge on a tab.,
Show New Message Badge in Transparency Mode,
Enable option to hide Chat,
Reset to Default,
Add Server,
Edit Channel Settings,
Add or Remove Channels Source,
"Multiplier applied to item max stack size. Values below 1 decrease max size, above 1 increase max size. A server restart is required for correct calculation.",
"Multiplier applied to item weight. Values below 1 decrease item weight, above 1 increase item weight. A server restart is required for correct calculation.",
"Multiplier applied to fuel yield per unit. Values below 1 decrease yield, above 1 increase yield. A server restart is required for correct calculation.",
"Multiplier applied to storage connection range. Values below 1 decrease range, above 1 increase range. A server restart is required for correct calculation.",
Name or ID '{0}' is a {1} but needs to be {2},
Failed to execute command {0},
"{0} at {1}, {2} {3}.",
"{0}, Recorded stat {1} with count {2}",
"{0}, {1} reputation changed by {2}",
"{0}, {1} now owns {2}.",
{0}: {1} action triggered {2},
This election cannot be withdrawn from.,
This server currently has no registered users,
This server currently has no administrators,
Restricted Items from {0},
