,Currently undiscovered. Requires {0}.,Не відкрито. Необхідно {0}.
,"A value of 100 represents a fully grown tree, 0 represents a newly-planted seed.","Значення 100 означає повністю виросле дерево, 0 – щойно посаджене насіння."
,Ecopedia page name collision: '{0}' and '{1}',Конфлікт назв сторінок в Екопедії: {0} і {1}
,Miscellaneous,Різне
,Click to view help in Ecopedia.,"Натисніть, щоб відкрити Екопедію."
,Can't find ecopedia link '{0}' (referenced on page '{1}'),Не вдається знайти посилання екопедії '{0}' (посилається на сторінку '{1}')
,None yet.,Поки нічого.
,Player opinions:,Думки гравців:
,Current Bank Accounts,Поточні банківські рахунки
,Current Currencies,Поточні валюти
,Current Work Orders,Поточні пропозиції
,Current Labor Market,Поточний ринок праці
,Current Constitution,Поточна Конституція
,Current Elections,Поточні вибори
,Current Laws,Поточні закони
,Current Titles,Поточні титули
,Current Districts,Поточні райони
,Current Demographics,Поточна демографія
,You have {0},Ви маєте {0}
,Selling: {0},Продаж: {0}
,Buying: {0},Купівля: {0}
,Owner has {0},У власника є {0}
,Details...,Подробиці...
,Select a specific recipe to craft.,Виберіть конкретний рецепт для створення.
,Mouse X,Миша X
,Mouse Y,Миша Y
,Mouse Wheel,Колесо миші
,Auto Moving,Авто переміщення
,Push To Talk,"Натиснути, щоб говорити"
,Recipe Variations,Варіанти рецепту
Chat command,carryall,сумка
Help text for chat command /carryall,Allows carry items into any user inventory slot and removes weight check.  Pass false to reset to normal.,"Дозволяє переносити предмети в будь-який слот інвентарю користувача та видаляє перевірку ваги. Передайте false, щоб відновити нормальний стан."
Parameter for chat command /carryall,allowCarryAll,
Help text for chat command /remove,Remove block types within a specified area,Видалення типів блоків в межах заданої області
Parameter for multiple chat commands,isTurnToGlass,
,Contribution Type,Тип вкладу
Help text for chat command /debug,Toggle debug display of civic processing. Pass 'false' to see for only yourself.,"Увімкніть відображення налаштувань обробки заяв від громадян. Виберіть значення 'false', щоб переглянути дані особисто."
,Alt,
,Ctrl,
,Contributed Directly,Безпосередній вклад
,Contributed To Storage,Вклад в сховище
,Auto Contributed,Автоматичний внесок
,Resource Efficiency,Ефективність витрат ресурсів
,Speed Efficiency,Швидкість - ефективність
,Labor Reservation,Резервація праці
,Time Attack To Idle,Підрахувати час простою
,Population Puller,Екстрактор популяції
,Consumes: {0}w of {1} power,Споживає: {0}Вт {1} потужності
,Produces: {0}w of {1} power,Виробляє: {0}Вт {1} потужності
,Consumes: {0}w of {1} power from fuel,Споживає: {0}Вт {1} потужності з палива
,A machine for dry concentration that produces less harmful tailings. Can only be used to concentrate Iron.,"Пристрій для сухої концентрації, утворює менше шкідливих хвостів. Може використовуватись тільки для концентрування заліза."
,A tool for miners to concentrate ore. The run off produces wet tailings.,"Інструмент для шахтарів, збагачує руду. Стік утворює вологі хвости."
,Lumber Stockpile,Склад з пиломатеріалів
,Large Lumber Stockpile,Великий склад з пиломатеріалів
,Pottery,Гончарна справа
,Pottery Skill Book,Книжка вмінь: Гончарна справа
,Pottery Skill Scroll,Сувій вмінь: Гончарна справа
,Masonry,Кам'яна кладка
,Masonry Skill Book,Книжка вмінь: Кам'яна кладка
,Masonry Skill Scroll,Сувій вмінь: Кам'яна кладка
,Carpentry,Теслярська справа
,Carpentry Skill Book,Книжка вмінь: Теслярська справа
,Carpentry Skill Scroll,Сувій вмінь: Теслярська справа
,Saw Softwood Boards,Пиляти дошки з деревини м'яких порід
,Saw Hardwood Boards,Пиляти дошки з деревини твердих порід
,Sand Concentrate,Отримати пісок
,Mortared Stones,Будівельне каміння
,Hewn Door,Двері з обтісаних досок
,Culinary Research Paper Advanced Meat,Дослідження вдосконаленої кулінарії - м'ясо
,Campfire Animal Tiny,Крихітна тварина на вогнищі
,Campfire Animal Small,Мала тварина на вогнищі
,Campfire Animal Medium,Середня тварина на вогнищі
,Butcher Small Animal,Різництво малої тварини
,Butcher Medium Animal,Різництво середньої тварини
,Tailoring Upgrade,Покращення кравецтва
,Smelting Upgrade,Покращення виплавки
,Pottery Upgrade,Покращення гончарства
,Paper Milling Upgrade,Покращення виготовлення паперу
,Oil Drilling Upgrade,Покращення буріння
,Modern Upgrade,Новітнє покращення
,Milling Upgrade,Покращення млинарства
,Masonry Upgrade,Покращення кам'яної кладки
,Industry Upgrade,Покращення промисловості
,Fertilizers Upgrade,Покращення виготовлення добрив
,Farming Upgrade,Покращення фермерства
,Electronics Upgrade,Покращення електроніки
,Cutting Edge Cooking Upgrade,Покращення сучасної кухні
,Cooking Upgrade,Покращення приготування їжі
,Composites Upgrade,Покращення сполук
,Campfire Cooking Upgrade,Покращення приготування їжі на багатті
,Butchery Upgrade,Покращення різництва
,Basic Engineering Upgrade,Базове покращення інженерії
,Baking Upgrade,Покращення випічки
,Advanced Upgrade,Просунуте покращення
,Advanced Smelting Upgrade,Просунуте покращення виплавки
,Advanced Masonry Upgrade,Просунуте покращення кладки
,Advanced Cooking Upgrade,Просунуте покращення приготування їжі
,Advanced Baking Upgrade,Просунуте покращення випічки
,Tiny Leather Carcass,Крихітна шкіряна туша
,Wood Board,Дерев'яні дошки
,Tiny Fur Carcass,Крихітна шерстяна туша
,Nails used for construction.,Цвяхи використовуються для будівництва.
,Metallurgy Research Paper Modern,Дослідження сучасної металургії
,Pirozhok,Пиріжок
,Under Brace Corner,
,Brace Corner,Кутова підпора
,Glass which was reinforced by a steel frame.,"Скло, укріплене сталевим каркасом."
,Silica,Силіка
,Parallel Processing: Pottery,Паралельна обробка: гончарство
,Parallel Processing: Masonry,Паралельна обробка: кам'яна кладка
,Parallel Processing: Carpentry,Паралельна обробка: столярство
,"Increases the tier requirement of tables by 0.2, but reduces the resources needed by 5 percent.","Збільшує вимоги до рівня приміщення на 0,2, але зменшує необхідні ресурси на 5%."
,Lavish Workspace: Pottery,Розкішне робоче місце: гончарство
,Lavish Workspace: Masonry,Розкішне робоче місце: кам'яна кладка
,Lavish Workspace: Carpentry,Розкішне робоче місце: столярство
,Frugal Workspace: Pottery,Скромне робоче місце: гончарство
,Frugal Workspace: Masonry,Скромне робоче місце: кам'яна кладка
,Frugal Workspace: Carpentry,Скромне робоче місце: столярство
,Focused Workflow: Pottery,Зосереджена робота: гончарство
,Focused Workflow: Masonry,Зосереджена робота: кам'яна кладка
,Focused Workflow: Carpentry,Зосереджена робота: столярство
,Pick Material,Виберіть матеріал
,Wet Tailings,Сирі хвости
,Waste product from concentrating ore. The run-off creates ground pollution; killing nearby plants and seeping into the water supply.,Відходи збагачення руди. Стік створює забруднення землі; знищує сусідні рослини та просочується у воду.
,"Stats Database deleted, because of incompatibility with current version",База даних статистики видалена через несумісність з теперішньою версією
,Records {0} added to world in ways other than from simulation.,"Записи {0}, додані до світу способами, відмінними від симуляції."
,Population of {0} changed for {1}.,Популяція {0} змінена на {1}.
,Weight/carry limits removed.,Обмеження ваги знято.
,Weight/carry limits re-added.,Обмеження ваги відновлено.
,Receive {0},Отримати {0}
,{0} complete!,{0} завершено!
,All weights must be greater than zero.,Усі маси мають бути більші за нуль.
,Failed to pay {0} {1} for {2} of the work:{3},Не вдалося сплатити {0} {1} за {2} роботи:{3}
,{0} debris blocks.,{0} блоків сміття.
,{0} debris blocks and {1} tree stumps,{0} блоків сміття та {1} пнів дерев
,You accepted {0}'s contract: {1:\n{result.Message},Ви прийняли договір {0}: {1:\n{result.Message}
,"This election does not accept candidates, it is a referendum only.","Ці вибори не приймають кандидатів, це лише референдум."
,This value will be reduced to {0} in {1} due to latest changes.,Через останні зміни це значення буде зменшено до {0} у {1}.
,Duplicate special type: {0} and {1}.  Destroying second one.,Дублікат спеціального типу: {0} та {1}.  Знищуємо другий.
,Plugs Into,Сумісний з
used in #171882 or #171884,the table work orders,таблиця робочих наказів
,Pluggable Modules,Сумісні модулі
,{0} labor,{0} роботи
,{0}{1} labor,{0}{1} роботи
,No labor needed on {0}.,Робота непотрібна в {0}.
,This recipe requires {0}{1} labor ({2} cal),
,calories of labor,карорій роботи
,Benefits of Installed Modules,Переваги встановлених модулів
,Maximum durability: {0}\n,Максимальна міцність: {0}\n
,Durability Remaining: {0}\n,Залишок довговічності: {0}\n
,when {0} matches {1},коли {0} відповідає {1}
,"Work order contributions can happen directly (adding to an active work order), to storage (when active order is full and item is put to storage), or automatically (new iteration starts and item is in storage from any means).","Поповнення замовлення може відбуватися безпосередньо (додавання до активного замовлення), до сховища (коли активне замовлення заповнене і позиція потрапляє до сховища), або автоматично (починається нова ітерація і позиція потрапляє до сховища з будь-якого засобу)."
,{0} references an ecopedia page which should already exist ({1}) but is missing.,
,List of All {0} Power Generators,Список усіх {0} генераторів енергії
,{0} power generators,{0} генераторів енергії
,This {0:object} has plugin modules and can't be picked up,
,Doesn't accept any kind of module.,Не використовує жодних модулів.
,Plugged Modules,Під'єднані модулі
,{0} have been successfully updated.{1},{0} успішно оновлено.{1}
,Nothing selected to be distributed.,Нічого не вибрано для розподілення.
,You have special access as a new citizen.,"Ви, як новий житель, маєте спеціальний доступ."
,Max days played for citizens to be eligible:{0},
,Items per citizen:,Предметів на жителя:
,Distribution Info,Інформація розподілу
Parameter for multiple chat commands,deed,право
,No more {0} needed in {1}.,В {1} більше не потрібно {0}.
,Can't add {0} to {1}: {2}.,Неможливо додати {0} до {1}: {2}.
,"Can't add {0} to {1}, current iteration is full and no accessible storage.","Неможливо додати {0} до {1}, поточна ітерація повна і немає доступного сховища."
,Added {0} to {1}.,Додано {0} в {1}.
,"{0} currently full, added {1} into storage in {2}.","{0} зараз повний, {1} додано до сховища в {2}."
,Added {0}: {1} into {2} and {3} into storage in {4}.,Додано {0}: {1} в {2} та {3} до сховища в {4}.
,To perform labor on {0} you need {1}.,"Виконати роботу в {0}, вам потрібно {1}."
,No projects need labor on {0}.,Жодному проєкту не потрібна робота в {0}.
,You have special access from {0},Ви маєте спеціальний доступ від {0}
,Failed to invoke delayed action: {0},Не вдалось викликати відкладену дію: {0}
,Duplicate named entry found and renamed. Old name:{0}  New name:{1},Знайдено і перейменовано копію імені. Старе ім'я:{0} Нове ім'я:{1}
,Are you sure you want to remove world {0}?,Ви дійсно бажаєте прибрати світ {0}?
,No More Wanted,Більше не потребується
,Sold Out,Розпродано
,Provides following benefits:,Надає наступні переваги:
,No benefits,Ніяких переваг
,FXAA,
,SMAA Low,SMAA Низький
,SMAA Medium,SMAA Середній
,SMAA High,SMAA Високий
,Look at Tooltip,Погляньте на підказку
,Shift +,
,Latest changes were not applied.,Останні зніни не були застосовані.
,Add New District,Додати новий район
,Purchasing,Покупка
,District Name,Назва району
,Butcher Tiny Leather Animal,Різництво маленької тварини зі шкірою
,Butcher Tiny Fur Animal,Різництво маленької тварини з хутром
,A dish of plain boiled grains that can be topped with fruit to make a nice tasting porridge.,"Страва із простих варених зерен, яку можна посипати фруктами, щоб приготувати приємну на смак кашу."
,Area around the {0} ,Територія навколо {0}
,The {0} cannot survive in this {1}.,{0} не може вижити в цьому {1}.
,The {0} could have problems with growth in this {1}.,{0} Може мати проблеми з ростом в цьому {1}.
,"Remote address which should be used to access the server. If not specified then will be automatically detected. Usually you should ignore it, but if you want to set exact connection address then it may be useful. Uses GameServerPort if no explicit port specified. If you want to auto-discovery remote address then you can use '*' instead of remote_host. Format: remote_host[:port] or *[:port].","Віддалена адреса, яку слід використовувати для доступу до сервера. Якщо не вказано, її буде автоматично визначено. Зазвичай її можна ігнорувати, але якщо вам потрібно встановити точну адресу підключення, це може бути корисно. Використовує GameServerPort, якщо не вказано явного порту. Якщо ви хочете автоматично визначати віддалену адресу, можна використовувати '*' замість remote_host. Формат: remote_host[:port] або *[:port]."
,labor,робота
,{0} Tag,Теґ {0}
,Tags represent a group of items.,Теги представляють групу елементів.
,Items in Tag,Елементи в тезі
Chat command,noon,обід
Chat command,midnight,північ
,Cancelled,Відмінено
,Work Party Refund,
,A recurve bow that shoots faster and more powerful than a traditional wooden bow. Requires arrows to fire.,"Рекурсивний лук, який стріляє швидше і потужніше, ніж традиційний дерев'яний лук. Для стрільби потрібні стріли."
,Moon Jellyfish,Аурелія
,A myriad of plants that make a healthy and odd blend.,"Безліч рослин, що формують дивну, але корисну для здоров’я, суміш."
,A thick meaty stew. A great source of protein.,Густе м’ясне рагу. Чудове джерело білка.
,"A soft, slightly sweet bread studded with juicy fruits.","М’який, трошки солоденький хліб, вкритий соковитими фруктами."
,Clothes,Одяг
,A basic backpack to carry supplies.,Базовий рюкзак для перенесення припасів.
,Sewage is a byproduct that is often created when using water for industrial purposes. It is a source of ground pollution.,"Стічні води є побічним продуктом, який часто утворюється при використанні води в промислових цілях. Це джерело забруднення ґрунту."
,Temperature: {0} celsius,Температура: {0} C
,Pollution: {0}\r\n,Забруднення: {0}\r\n
,Rainfall: {0}\nTotal soil moisture: {1},Кількість опадів: {0}\nЗагальна вологість ґрунту: {1}
,Salt Water: ,Солона вода:
,{0} hrs\n{1}:{2},{0} годин\n{1}:{2}
,{0}\nsec,{0}\nсек
,Inventory doesn't accept items,Інвентар не приймає предмети
,Missing work order.,Замовлення відсутнє.
,{0} refund,{0} Відшкодування
,Cannot have more than one empty condition block.,Не може бути більше одного порожнього блоку умов.
,There are no active elections that {0} may vote in.,"Немає активних виборів, в яких {0} можуть голосувати."
,There are no active elections that {0} can join.,"Немає активних виборів, до яких {0} можуть приєднатися."
,There are no active elections that {0} can withdraw from.,"Немає активних виборів, з яких {0} може відмовитися."
,There are no active titles that {0} may change.,"Немає активних назв, які {0} можуть змінити."
,{0} does not have any active title to resign from.,"{0} не має активної посади, з якої можна було б звільнитися."
,There are no active elections that {0} can veto.,"Немає активних виборів, на які {0} можуть накласти вето."
,Election vetoed by {0} after {1} hours.,На вибори наклали вето {0} після {1} годин.
,The deed is unowned.,Нікому не належить.
,component,компонент
,{0} out of {1} {2} added.,{0} з {1}{2} додано.
,{0} out of {1} {2} performed.,{0} з {1}{2} виконано.
,Performed {0} units of labor on {1}.,Виконано {0} одиниць ровьоти на {1}.
,Not assigned to any crafting station.,Не призначено для жодної станції виготовлення.
,Recipe missing.,Відсутній рецепт.
,No product available.,Немає доступних продуктів.
,Static value - not affected by modifiers,Статичне значення - не залежить від модифікацій
,Not In Browser,Не в браузері
,Can't add unowned order.,Неможливо додати неналежне замовлення.
,Cannot add {0} to this list.,Не можна додати {0} до цього списку.
,Wrong config version,Неправильна версія конфігурації
,Spawn terrain blocks,Породжуйте блоки місцевості
,DepositTerrainModule ({0}) spawn rate ({1:E2}) is too high! It will create new deposit every {2} blocks with max deposit size {3}! It may create lot of extra blocks and significantly slow down generation. To fix this decrease spawn rate at least to {4:E2} (for 20% space between deposits).,Швидкість появи DepositTerrainModule ({0}) ({1:E2}) зависока! Він створюватиме новий депозит кожні {2} блоків із максимальним розміром депозиту {3}! Це може створити багато додаткових блоків і значно сповільнити генерацію. Щоб виправити це зниження частоти появи принаймні до {4:E2} (для 20% інтервалу між депозитами).
,DepositTerrainModule ({0}) spawn rate ({1:E2}) is high! It will create new deposit every {2} blocks with max deposit size {3}! It may create too tight deposits. To fix this decrease spawn rate at least to {4:E2} (for 20% space between deposits).,Швидкість появи DepositTerrainModule ({0}) ({1:E2}) висока! Він створюватиме новий депозит кожні {2} блоків із максимальним розміром депозиту {3}! Це може створити занадто щільні відкладення. Щоб виправити це зниження частоти появи принаймні до {4:E2} (для 20% інтервалу між депозитами).
,Defines depth range to start spawn in. It may go out of depth range while growing deposit though. You can use DepositDepthRange to control deposit bounds.,"Визначає діапазон глибини, у якій починається відродження. Хоча він може вийти за межі діапазону глибини під час зростання депозиту. Ви можете використовувати DepositDepthRange, щоб контролювати межі депозиту."
,"Defines depth range to keep deposit within. It is still possible to go out of deposit depth range bounds, but it will have big penalty.","Визначає діапазон глибини, в межах якої потрібно зберігати відкладення. Все ще можна вийти за межі діапазону глибини депозиту, але це матиме великий штраф."
,Void Storage,Порожнє сховище
,A rotary kiln that produces cement and concrete products.,"Обертова промислова піч, яка виробляє цемент і бетон."
,Iron Sickle,Залізний серп
,Turn off,Вимкнути
,Turn on,Ввімкнути
,Collect community donated items,"Зібрати предмети, які пожертвувала спільнота"
,There are no available projects that require {0},Немає запущених проєктів які потребують {0}
,alias,інакше
,Skill Level,Рівень вміння
,Re-Scan,Пересканувати
,Load Localization Tables,Завантажити локалізацію
,Export Chat Log,Експорт журналу повідомлень
,Export Species,Експорт видів
,Export Environmental Data,Експорт даних навколишнього середовища
,Export Actions,Експорт дій
,Export All,Експортувати все
,Flush to Disk,Вивантаження на диск
,Force Save All and Flush to Disk,Примусове збереження і вивантаження на диск
,Do Backup Now,Зробити резервну копію зараз
,Stop Auto-Backup,Зупинити автоматичне резервне копіювання
,Start Auto-Backup,Почати автоматичне резервне копіювання
,Force GC,
,Build Tech Tree Image,Зробити знімок дерева технологій
,Refresh Mod List,Оновити список модифікацій
,Refresh Mod Unity Data,Оновити дані модифікації
,Relay Server Address,Адреса сервера ретрансляції
,GameData,Ігрові дані
,GameDataPlugin,
,Backspace,
,Tab,
,Return,Enter
,Space,Пропуск
,Up,↑
,Down,Вниз
,Insert,
,Home,
,End,
,rShift,
,Help,
,Print,
,Break,
,Menu,
,Tailor Specialty,Кравець
,Smith Specialty,Коваль
,Survivalist Specialty,Спеціальність виживання
,Mason Specialty,Каменяр
,Carpenter Specialty,Столяр
,Engineer Specialty,Інженер
,Farmer Specialty,Фермер
,Hunter Specialty,Мисливець
,Chef Specialty,Шеф-кухар
,Tamper,Трамбовка
,Tree,Дерево
,Plants,Рослини
,Animals,Тварини
,UserTracker,
,Product,Продукт
,Ingredient,Інгредієнт
,Housing Objects,
,Polluter,Забруднювач
,EconomyManager,
,ViewTypeData,
,Main Camera,Головна камера
,Mod Object,
,Mod Item,
,Mod Benefit,
,A dead snapping turtle.,Мертва кайманова черепаха.
,A pacific sardine.,Тихоокеанська сардина.
,A moon jellyfish.,Аурелія.
,A dead coyote.,Мертвий койот.
,A cod.,Тріска.
,A blue shark,Синя акула
,A bass. ,Окунь.
,A dead alligator.,Мертвий алігатор.
,A dead agouti.,Мертвий агуті.
,{0} hr\n{1}:{2},
,{0} is not active and can't be cancelled.,{0} не активний і не може бути скасований.
,Can't take the role while {0} is on an unplaced board.,
,{0} is too far away to take the role.,"{0} занадто далеко, щоб взяти на себе роль."
,Posted on {0},
,Is on an unplaced contract board.,
,Can holders of this position set the global objective in the objective window?,
,Error: Removing corrupted entry {0}: {1},
,Deed for {0},
,Durability remaining: {0}\n,Залишок довговічності: {0}\n
,CivicsPlugin,
,count: {0},
,Performance,
,{0} Posted on {1},
,Created by {0}{1},
,Economic Components,
,Bank Component,
,Contract Board Component,
,Credit Component,
,Deed Sales Component,
,Exchange Component,
,Item Distribution Component,
,Mint Component,
,Store Component,
,Government Components,
,Civic Action Component,
,Civic Object Component,
,Registrar Component,
,Treasury Component,
,Housing Components,
,Authorization Component,
,Bed Component,
,Industry Components,
,Crafting Component,
,Modules Component,
,Pipe Component,
,Power Component,
,Repair Component,
,Status Component,
,Storage Component,
,Concepts,
,Economy Overview,
,Biomes,Біоми
,Data,Дані
,Ecosystem Overview,
,Housing Overview,
,Skills Overview,
,Professions,Ремесла
,Profession Overview,Огляд ремесла
,World Index,Індекс світу
,Vehicle Component,
,Getting Started,
,Choosing a Profession,
,Civic Duties,
,Economic Participation,
,Food and Shelter,
,Life in an Ecosystem,
,The Arc of Progress,Дуга прогресу
,Using Tools,
,Building,
,My Deeds Component,
,Text Component,
,Food Webs,
,Crafted Objects,
,Work Stations,Робочі станції
,Development,Розробка
,Eco Development,Розробка Eco
,The Eco Tree,Дерево Eco
,Upgrade Modules,
,Advanced Upgrades,Просунуті покращення
,Basic Upgrades,Базові покращення
,Modern Upgrades,Новітні покращення
,Specialty Upgrades,
,Natural Resources,Природні ресурси
,"When you gotta go, you gotta go.","Коли ти мусиш іти, ти мусиш іти."
,A crushing machine that uses iron stamps to pound rocks into small pieces.,"Дробильна машина, яка використовує залізні штампи, щоб подрібнювати каміння на дрібні шматки."
,A small household sink.,Маленька побутова раковина.
,A heavy mortared stone door.,Важкі двері з будівельного каменю.
,A heavy duty machine that uses compressive force to crush rocks into a fine gravel.,"Важка потужна машина, яка використовує стискаючу силу для подрібнення гірських порід у дрібний гравій."
,Elected officials can perform one-time executive actions here.,
,A tamper proof box where votes are cast. Citizens can run for elected office here.,"Скринька із захистом від несанкціонованого доступу, де віддають голоси. Тут громадяни можуть балотуватися на виборні посади."
,Tailorings work with cloth to make high-end furniture.and clothing that provides special bonuses when worn.,
,Smiths smelt concentrate ore into metal bars and craft superior tools that helps citizens work more productively.,
,Hunting animals provides a great source of nutritious food and their skins can be used in a variety of crafting projects.,"Мисливські тварини є чудовим джерелом поживної їжі, а їх шкури можна використовувати в різноманітних ремісничих проектах."
,Farmers specialize in all aspects of agriculture. The crops they produce are a primary source of the calories needed to perform work.,
,Engineers use the materials created by other professions to create cutting edge technology that paves the way for technological advancement.,
,{0} performed {1} of the work. {2},
,Cannot post a contract on an unplaced board.,Не можна розмістити контракт на нерозміщеній дошці.
,contract,
,{0} posted on {1}.,
,Need to take {0} from {1}.,
,Not Allowed In Inventories,
,{0} {1}labor,
,Halted: Needs materials to proceed.,
,Halted: Needs {0}labor to proceed.,
,Cancel {0}?,
,Do you wish to clear all data saved in this object?,"Очистити всі дані, збережені в цьому об’єкті?"
,This object has been used previously and contains saved data.,Цей об’єкт використовувався раніше і містить збережені дані.
,Click here,Натисни сюди
,Credit data,
,District Map Name,
,Carpenters use harvested logs to craft a variety of useful products. Wood is an excellent source of building materials and furniture for homes.,Теслі використовують заготовлені колоди для виготовлення різноманітних корисних виробів. Деревина є чудовим джерелом будівельних матеріалів та меблів для будинків.
Chat command,atob,
Help text for chat command /atob,Teleports player A to player B,
Parameter for chat command /atob,targetA,
Parameter for chat command /atob,targetB,
Chat command,targetto,
Help text for chat command /targetto,Teleports otherPlayer to an xyz coordinate,
Help text for chat command /add,Add an object of the give type.,
,Pollution In PPM,
,PPM Per Hour,
,Executive Action Title,
Parameter for chat command /air,tons,
Help text for chat command /co2,Changes CO2 PPM by X,
,Modulus,
,At Most,
,At Least,
,Round Down,
,Round Up,
,Round Nearest,
,Count Back From Present Time,
,Current Time Block,
,Server Voice Identifier,
,Plugin Config,
,Param Changed,
,Temperature change degrees,
,Sea level change meters,
,Past Period,
,Releases CO2 tons Per Day,
,A large table for placing things on.,Великий стіл для розміщення речей.
,Street Sign,Вуличний знак
,A metal sign that is especially useful when placed alongside a road to provide information or give instructions to road users.,"Металевий знак, який особливо корисний при розміщенні вздовж дороги для надання інформації чи інструкцій для учасників дорожнього руху."
,Stop Sign,Знак стоп
,A traffic sign used to notify drivers to come to a complete stop and make sure the interesection is clear before proceeding.,"Дорожній знак інколи потрібен, щоб водій можливо зупинився перед небезпекою, хоча..."
,An early stone table. Not much to look at but it does the job.,"Простий кам'яний стіл. Не дуже гарний, але свою роботу виконує."
,A basic stone fireplace. Not much to look at it but a great source of heat.,"Базовий кам'яний камін. На це не так багато дивитися, але чудове джерело тепла."
,An early stone chair. Not too comfy but it does the job.,"Простий кам'яний стілець. Не дуже зручно, але виконує свою роботу."
,A basic stone bench for sitting.,
,Modern Street Light,Сучасний вуличний ліхтар
,Modern Double Street Light,Сучасний подвійний вуличний ліхтар
,A wolf statue carved from limestone.,"Статуя вовка, вирізана з вапняку."
,An owl statue carved from limestone.,
,An otter statue carved from limestone.,Вирізана з вапняку статуя видри.
,A bison statue carved from limestone.,
,"A raised surface supported by legs. Without the back, it might be a stool.","Припіднята площина з ніжками. Без спинки, це міг би бути табурет."
,A basic wooden bench.,
,A trap to catch river fish as they swim. It can only be used in fresh water as it's too small to catch the larger ocean fish. ,"Пастка для лову річкової риби, коли вона плаває. Його можна використовувати тільки в прісній воді, оскільки він занадто малий, щоб зловити більшу океанську рибу."
,A tool for shaping or cutting metal by deforming it with a die.,
,A sander and a jointer rolled into one.,
,An electric powered machine that has a spinning blade to craft a variety of metal products.,
,A large composite table for eating meals or getting some work done.,
,A beautiful composite door built by an expert carpenter.,
,A composite chair built to last.,
,A composite bench built to last.,
,A nice composite table for eating meals or getting some work done.,Гарний композитний стіл для прийому їжі або виконання певної роботи.
,A rustic brick fireplace. Nothing beats sitting around the fire on a cold day.,Сільський цегляний камін. Ніщо не краще сидіти біля багаття в холодний день.
,A porcelain bathtub for when you need to get clean or just relax,"Порцелянова ванна, коли вам потрібно прибратися чи просто розслабитися"
,The assembly line allows for mass production of mechanical products,Складальна лінія дозволяє здійснювати масове виробництво механічних виробів
,A large stone table crafted by an expert mason.,
,A fancy ashlar stone fireplace. Nothing beats sitting around the fire on a cold day.,
,A heavy ashlar stone door.,Важкідвері з обтесаного каменю.
,An ashlar stone chair. Great for display though maybe not as comfy as a padded chair.,
,A beautiful ashlar stone fountain with flowing water that makes a great centerpiece. Small enough to fit indoors.,
,A large stone table crafted by an expert mason,
,A beautiful ashlar stone fountain with flowing water that makes a great centerpiece.,
,A modern carpentry table with an electric motor and heavy duty steel sawblades.,
,A fancy ashlar stone table that has been adorned with gold,
,A fancy ashlar stone chair that has been adorned with gold. A throne fit for a king.,
,A fancy ashlar stone bench that has been adorned with gold.,
,A stone sickle used to harvest crops or cut grass.,
,A tool for tamping dirt into roads.,
,A machete used to quickly clear plants.,
,A steel sickle used to harvest crops or cut grass. Has an AoE with each swing.,
,A modern scythe used to harvest crops or cut grass. Has a large AoE with each swing.,"Сучасна коса, що використовується для збирання врожаю або скошування трави. Має великий AoE з кожним розмахом."
,A machete used to quickly clear plants. Has a large AoE with each swing.,"Мачете, що використовується для швидкого очищення рослин. Має великий AoE з кожним розмахом."
,An iron sickle used to harvest crops or cut grass.,"Залізний серп, який використовується для збирання врожаю чи скошування трави."
,Shred Kelp,Нарізати ламінарію
,Modern Upgrade with great efficiency increase.,Новітнє покращення зі значно підвищеною ефективністю.
,Mining Modern Upgrade,Новітнє покращення видобутку
,Mining Basic Upgrade,Базове покращення видобутку
,Mining Advanced Upgrade,Просунуте покращення видобутку
,Mechanics Modern Upgrade,Новітнє покращення механіки
,Mechanics Advanced Upgrade,
,Masonry Basic Upgrade,
,Logging Basic Upgrade,
,Logging Advanced Upgrade,
,Glassworking Modern Upgrade,Новітнє покращення обробки скла
,Glassworking Advanced Upgrade,
,Carpentry Basic Upgrade,
,Carpentry Advanced Upgrade,
,Basic Upgrade that increases crafting efficiency.,
,Advanced Upgrade that increases crafting efficiency.,
,A basic wheel for use in early wooden vehicles.,
,A disc shaped steel saw that can be attached to rotary machines to shape wood and masonry products.,"Сталева пилка у формі диска, яку можна прикріпити до роторних машин для формування виробів з дерева та кладки."
,A sturdy steel plate for use in various crafting recipes.,Міцна сталева пластина для використання в різних рецептах.
,A rotating steel rod that can be fixed to wheels for use in vehicles.,"Обертовий сталевий стрижень, який можна закріпити на колесах для використання в транспортних засобах."
,Rubber wheels provide much better traction and allow the construction of more modern vehicles.,Гумові колеса забезпечують набагато краще зчеплення з дорогою та дозволяють будувати більш сучасні транспортні засоби.
,A sturdy iron wheel that can support heavier vehicles than early wooden wheels.,"Міцне залізне колесо, яке може підтримувати більш важкі транспортні засоби, ніж ранні дерев'яні колеса."
,A disc shaped iron saw that can be attached to rotary machines to shape wood products.,"Дискова залізна пила, яку можна прикріпити до роторних машин для формування виробів з деревини."
,A solid iron plate for use in various crafting recipes.,
,A rotating iron rod that can be fixed to wheels for use in vehicles.,"Обертовий залізний стрижень, який можна закріпити на колесах для використання в транспортних засобах."
,In order to be usable it needs to be reinforced.,"Щоб його можна було використовувати, його потрібно зміцнити."
,A vessel used for heating fluids.,"Посудина, яка використовується для нагрівання рідин."
,A baked bun filled with tasty meat and mushrooms.,"Запечена булочка, наповнена смачним м’ясом і грибами."
